"scenario","maxtmax","mintmin","model"
"historical",317.447052001953,232.638320922852,"bcc-csm1-1"
"rcp45",324.168914794922,233.402359008789,"bcc-csm1-1"
"rcp85",325.747039794922,235.845352172852,"bcc-csm1-1"
"historical",317.447052001953,232.638320922852,"bcc-csm1-1-m"
"rcp45",325.116760253906,226.595001220703,"bcc-csm1-1-m"
"rcp85",325.041687011719,230.380249023438,"bcc-csm1-1-m"
"historical",317.447052001953,232.638320922852,"BNU-ESM"
"rcp45",321.127075195312,232.910049438477,"BNU-ESM"
"rcp85",324.748626708984,229.793930053711,"BNU-ESM"
"historical",317.447052001953,232.638320922852,"CanESM2"
"rcp45",323.936370849609,233.261703491211,"CanESM2"
"rcp85",326.697418212891,231.974044799805,"CanESM2"
"historical",317.447052001953,232.638320922852,"CCSM4"
"rcp45",324.960632324219,228.72053527832,"CCSM4"
"rcp85",326.682647705078,232.505798339844,"CCSM4"
"historical",317.447052001953,232.638320922852,"CNRM-CM5"
"rcp45",322.273162841797,228.1865234375,"CNRM-CM5"
"rcp85",325.093688964844,230.2666015625,"CNRM-CM5"
"historical",317.447052001953,232.638320922852,"CSIRO-Mk3-6-0"
"rcp45",324.879974365234,228.660995483398,"CSIRO-Mk3-6-0"
"rcp85",326.227844238281,229.074859619141,"CSIRO-Mk3-6-0"
"historical",317.447052001953,232.638320922852,"GFDL-ESM2G"
"rcp45",322.784576416016,232.773620605469,"GFDL-ESM2G"
"rcp85",324.520324707031,233.135269165039,"GFDL-ESM2G"
"historical",317.447052001953,232.638320922852,"GFDL-ESM2M"
"rcp45",319.913787841797,228.452194213867,"GFDL-ESM2M"
"rcp85",324.683868408203,230.728759765625,"GFDL-ESM2M"
"historical",317.447052001953,232.638320922852,"HadGEM2-CC365"
"rcp45",324.181945800781,230.441696166992,"HadGEM2-CC365"
"rcp85",328.180023193359,233.552368164062,"HadGEM2-CC365"
"historical",317.447052001953,232.638320922852,"HadGEM2-ES365"
"rcp45",323.479309082031,233.544296264648,"HadGEM2-ES365"
"rcp85",328.192901611328,235.38117980957,"HadGEM2-ES365"
"historical",317.447052001953,232.638320922852,"inmcm4"
"rcp45",322.517822265625,227.432281494141,"inmcm4"
"rcp85",325.04296875,230.647354125977,"inmcm4"
"historical",317.447052001953,232.638320922852,"IPSL-CM5A-LR"
"rcp45",322.382293701172,230.82292175293,"IPSL-CM5A-LR"
"rcp85",325.172027587891,233.181121826172,"IPSL-CM5A-LR"
"historical",317.447052001953,232.638320922852,"IPSL-CM5A-MR"
"rcp45",323.747314453125,234.666564941406,"IPSL-CM5A-MR"
"rcp85",324.916412353516,235.416259765625,"IPSL-CM5A-MR"
"historical",317.447052001953,232.638320922852,"IPSL-CM5B-LR"
"rcp45",321.252410888672,231.147369384766,"IPSL-CM5B-LR"
"rcp85",323.507873535156,230.216323852539,"IPSL-CM5B-LR"
"historical",317.447052001953,232.638320922852,"MIROC5"
"rcp45",322.89111328125,223.349899291992,"MIROC5"
"rcp85",323.801696777344,234.132461547852,"MIROC5"
"historical",317.447052001953,232.638320922852,"MIROC-ESM"
"rcp45",329.643707275391,228.16716003418,"MIROC-ESM"
"rcp85",332.013488769531,226.584014892578,"MIROC-ESM"
"historical",317.447052001953,232.638320922852,"MIROC-ESM-CHEM"
"rcp45",330.971343994141,236.94856262207,"MIROC-ESM-CHEM"
"rcp85",332.754241943359,238.065841674805,"MIROC-ESM-CHEM"
"historical",317.447052001953,232.638320922852,"MRI-CGCM3"
"rcp45",319.251708984375,233.664505004883,"MRI-CGCM3"
"rcp85",322.533081054688,230.861312866211,"MRI-CGCM3"
"historical",317.447052001953,232.638320922852,"NorESM1-M"
"rcp45",322.745300292969,227.663009643555,"NorESM1-M"
"rcp85",329.379241943359,231.108123779297,"NorESM1-M"
